央视频道,#genre#
BBC 2,http://10.10.10.5:1228/stv.php?id=bbc2_antik
CBBC,http://10.10.10.5:1228/stv.php?id=cbbc_antik
More4,http://10.10.10.5:1228/stv.php?id=more4_antik
Freesports,http://10.10.10.5:1228/stv.php?id=freesports_antik
Pick TV,http://10.10.10.5:1228/stv.php?id=picktv_antik
itv 1,http://10.10.10.5:1228/stv.php?id=itv1_antik
itv 2,http://10.10.10.5:1228/stv.php?id=itv2_antik
Euronews,http://10.10.10.5:1228/stv.php?id=euronews_antik
Channel 4,http://10.10.10.5:1228/stv.php?id=channel4_antik
BBC World News,http://10.10.10.5:1228/stv.php?id=bbcworldnews_antik

体育频道,#genre#
Astro Premier League 1,http://10.10.10.5:1228/stv.php?id=go_assp1
Astro EPL 1,http://10.10.10.5:1228/stv.php?id=go_assp1x
Astro Premier League 2,http://10.10.10.5:1228/stv.php?id=go_assp2
Astro Grandstand,http://10.10.10.5:1228/stv.php?id=go_assp3
Astro Football,http://10.10.10.5:1228/stv.php?id=go_assp4
Astro Sports Plus,http://10.10.10.5:1228/stv.php?id=go_sportsplus
Astro Badminton 1,http://10.10.10.5:1228/stv.php?id=go_badminton1
Astro Badminton 2,http://10.10.10.5:1228/stv.php?id=go_badminton2
Astro W-Sports,http://10.10.10.5:1228/stv.php?id=go_assp5
Supersports 1,http://10.10.10.5:1228/stv.php?id=Assp1
Supersports 2,http://10.10.10.5:1228/stv.php?id=Assp2
Supersports 3,http://10.10.10.5:1228/stv.php?id=Assp3
Supersports 4,http://10.10.10.5:1228/stv.php?id=Assp4
WWE,http://10.10.10.5:1228/stv.php?id=Wwe
Fight Sports,http://10.10.10.5:1228/stv.php?id=Fs
NBA TV,http://10.10.10.5:1228/stv.php?id=Nba
Astro Cricket,http://10.10.10.5:1228/stv.php?id=Acricket
Astro Golf,http://10.10.10.5:1228/stv.php?id=Agolf
Tnt Sports 1,http://10.10.10.5:1228/stv.php?id=6fac0aaead
TNT Sports 2,http://10.10.10.5:1228/stv.php?id=d9a76a79cc
TNT Sports 3,http://10.10.10.5:1228/stv.php?id=5fea4d73db
TNT Sports 4,http://10.10.10.5:1228/stv.php?id=tntsport4
Sony Ten 1,http://10.10.10.5:1228/stv.php?id=ten1_raj
Sony Ten 2,http://10.10.10.5:1228/stv.php?id=ten2_raj
Sony Ten 3,http://10.10.10.5:1228/stv.php?id=ten3_raj
SPOTV 1 HD,http://10.10.10.5:1228/stv.php?id=go_spotv
SPO TV 2,http://10.10.10.5:1228/stv.php?id=go_spotv2
Skysports F1,http://10.10.10.5:1228/stv.php?id=tiankongf1
Skysports Cricket,http://10.10.10.5:1228/stv.php?id=tiankongcricket
Skysports EPL,http://10.10.10.5:1228/stv.php?id=tiankongepl
Skysports Main Event,http://10.10.10.5:1228/stv.php?id=tiankongmain
Skysports News,http://10.10.10.5:1228/stv.php?id=tiankongnews
Skysports Mix,http://10.10.10.5:1228/stv.php?id=tiankongmix
爱尔达体育2台,http://10.10.10.5:1228/stv.php?id=eltasport2_twn
